a,b,c,curve_id
-0.821805907804593,0.0977992266721468,-0.269326091338967,0
0.9327818766550902,3.95867151563637,0.5939334453872036,1
0.8035456638697662,2.7577156888858965,0.23905401053477338,2
0.5843479069598665,3.768197863381191,0.8199500208144606,3
0.5302337180840189,1.510531985596794,-0.1155043140143508,4
0.30004896290530625,4.068132418808487,0.12694435433326623,5
-0.08752775232396304,3.4661961348420665,-0.3929938050972468,6
0.811380581887803,2.96476225297926,-0.7355078773780541,7
-0.6823498103563597,3.535579375614309,0.03591236403914655,8
0.4255957359890086,3.2243961872620224,-0.43293863480692485,9
0.5281090312683885,5.235862468005136,0.6238679987962346,10
0.5397563349380257,0.5889233966526217,-0.3137369859930499,11
0.040893498070272205,0.23372163859880568,0.25572628775916617,12
-0.17787624047877526,5.992663070571737,0.9831245191246161,13
0.2750413783548551,0.937407927391821,0.08504636241999264,14
-0.41807783316814295,5.144544460811129,0.7711190699796431,15
-0.4233520964901445,3.3193579258371475,-0.7783939008528393,16
-0.026687857468481235,1.3633644081649126,-0.20270902224967235,17
-0.40645487689713433,0.3996627515037199,0.9104232931604133,18
0.6964831286582083,4.218111026846567,-0.6426011003235732,19
0.9543078821811124,0.4109407273033878,-0.5169509796095602,20
-0.041428604313271666,4.202647285670098,0.6567669363863728,21
0.2643728323532275,1.2424468225483662,0.49078727851194315,22
0.36421016885305124,3.430467033586724,-0.6200499104700181,23
0.8663159941664804,3.8458025270599094,-0.3228639729034435,24
-0.7631602022736561,1.8633765547986176,0.9591135333469176,25
0.41335396419259207,1.913819494915876,0.03762392579571472,26
0.8222800725612813,2.6404736829931905,0.12502902491914836,27
0.40602905804480005,4.503616288558791,0.6984670551582868,28
0.19055783391325654,0.8211478647695833,0.47700220546757244,29
0.17943097581336587,0.9133202170273222,0.2562251821258559,30
-0.5808481751777803,0.2860233493214781,-0.8240159964154383,31
-0.4497034342066297,5.89112048459553,0.6097803825330415,32
-0.8182836961285018,3.999365701910957,0.08170672939892332,33
-0.8897333959361471,0.42163428773228095,0.1736450338829052,34
0.6668754454939116,1.0953942593811257,0.8808700853609515,35
-0.7929716980800745,1.6351663358323936,0.8154520948997634,36
-0.957842489233919,0.3900511791874317,-0.6591730875769442,37
-0.8863246218521803,0.47299145412271204,-0.39293851647189126,38
-0.6298314205837285,0.2164980542846473,-0.9982086333197289,39
-0.6204443814021203,2.7094192513332924,-0.7279716084979548,40
-0.15600116252011964,0.6300397079576385,-0.40730534850510103,41
0.8286057331715724,4.914057771496924,-0.5549454410682606,42
0.018714298292059173,5.21776177508168,0.518552208853502,43
-0.9315648569340012,3.906074804617478,0.8711480269556149,44
0.2530766318356825,1.9406284491050871,0.741065195643956,45
-0.22581804917835324,0.09809811369087029,0.5150811864569897,46
0.6803753491899012,0.18985741336820272,0.6909362182369778,47
0.16935705173546434,4.988366423463736,0.19237765764797898,48
-0.6643281222329525,1.1238661600080941,0.6489298232877276,49
